"","member_casual","rideable_type","month","count","mean_ride_length","sd_ride_length","mode_day"
"1","casual","classic_bike","Jan",10451,2248.68988613537,10504.6885480199,"Wednesday"
"2","casual","classic_bike","Feb",27811,2068.63996260483,8769.5895107211,"Sunday"
"3","casual","classic_bike","Mar",39584,2285.69788298309,8453.75599866446,"Saturday"
"4","casual","classic_bike","Apr",57819,2453.6531244052,8244.48523886122,"Saturday"
"5","casual","classic_bike","May",116736,2421.02741228083,7792.34812889056,"Saturday"
"6","casual","classic_bike","Jun",142252,2476.63048674201,8282.27492917832,"Sunday"
"7","casual","classic_bike","Jul",160043,2399.26158594903,7842.29200608295,"Saturday"
"8","casual","classic_bike","Aug",148876,2260.18195008029,7457.13471569267,"Saturday"
"9","casual","classic_bike","Sep",121031,2152.28138245543,7249.92440715559,"Sunday"
"10","casual","classic_bike","Oct",98143,2111.72947637591,7347.54214022553,"Saturday"
"11","casual","classic_bike","Nov",39048,1858.61880249974,7561.76500401858,"Saturday"
"12","casual","classic_bike","Dec",13142,1911.3571754682,8639.12385926579,"Monday"
"13","casual","electric_bike","Jan",14009,554.188878578058,735.552995689613,"Thursday"
"14","casual","electric_bike","Feb",19352,710.565057875157,986.88993939159,"Thursday"
"15","casual","electric_bike","Mar",42896,767.574179410669,890.286001109234,"Saturday"
"16","casual","electric_bike","Apr",73991,861.813071860123,1043.50238600262,"Saturday"
"17","casual","electric_bike","May",114414,928.39493418637,1047.5272085532,"Saturday"
"18","casual","electric_bike","Jun",158917,933.433043664287,1070.09099407537,"Sunday"
"19","casual","electric_bike","Jul",160538,956.675690490698,1102.90871655379,"Saturday"
"20","casual","electric_bike","Aug",169459,921.935181961439,1070.83937652542,"Saturday"
"21","casual","electric_bike","Sep",140311,876.04464368445,993.149155243549,"Sunday"
"22","casual","electric_bike","Oct",118309,805.430178600166,921.687581206372,"Saturday"
"23","casual","electric_bike","Nov",54014,661.908856963018,819.320272476217,"Saturday"
"24","casual","electric_bike","Dec",25227,605.147936734454,683.03525089425,"Monday"
"25","casual","electric_scooter","Aug",63,2192.8253968254,3862.26397144875,"Saturday"
"26","casual","electric_scooter","Sep",85152,715.167312570452,840.300033218382,"Saturday"
"27","member","classic_bike","Jan",66074,1030.20230347785,5692.67795259968,"Wednesday"
"28","member","classic_bike","Feb",112503,845.633254224238,3687.2468640608,"Thursday"
"29","member","classic_bike","Mar",108953,834.186860389284,3241.31884343118,"Tuesday"
"30","member","classic_bike","Apr",130584,880.943101758298,3010.95577596726,"Tuesday"
"31","member","classic_bike","May",190179,918.165959438174,2889.12921991565,"Wednesday"
"32","member","classic_bike","Jun",195497,957.382082589423,3007.77521406728,"Wednesday"
"33","member","classic_bike","Jul",210518,922.707236435909,2733.81746682997,"Wednesday"
"34","member","classic_bike","Aug",204121,900.854733221987,2744.30788369781,"Thursday"
"35","member","classic_bike","Sep",193308,839.351196018702,2340.13828608357,"Monday"
"36","member","classic_bike","Oct",182479,799.371566043201,2355.19910633868,"Wednesday"
"37","member","classic_bike","Nov",109061,743.47012222518,2485.17723800711,"Friday"
"38","member","classic_bike","Dec",57376,727.185199386536,2508.08236315288,"Monday"
"39","member","electric_bike","Jan",54339,580.618414030461,1062.83752175234,"Wednesday"
"40","member","electric_bike","Feb",63498,649.379303285132,1046.41821371548,"Thursday"
"41","member","electric_bike","Mar",110115,603.280479498713,842.250809933689,"Tuesday"
"42","member","electric_bike","Apr",152631,621.849290118011,779.856616277991,"Tuesday"
"43","member","electric_bike","May",188375,701.346234903778,963.171648464609,"Wednesday"
"44","member","electric_bike","Jun",214081,719.855652766917,886.823128106497,"Wednesday"
"45","member","electric_bike","Jul",217905,727.242702094946,888.449197295526,"Wednesday"
"46","member","electric_bike","Aug",233266,718.812287260026,883.058299370249,"Friday"
"47","member","electric_bike","Sep",221962,701.533474198274,856.079133307597,"Monday"
"48","member","electric_bike","Oct",217361,652.63979278712,796.236614526677,"Wednesday"
"49","member","electric_bike","Nov",132919,601.805633506118,813.639026655696,"Friday"
"50","member","electric_bike","Dec",82614,588.18120415425,996.584762154701,"Monday"
"51","member","electric_scooter","Aug",19,1161.73684210526,872.221546913733,"Saturday"
"52","member","electric_scooter","Sep",59103,494.166133698802,423.28964825456,"Wednesday"
